,Akurasi,Presisi (W),Recall (W),F1-Score (W),Waktu Training (s)
Random Forest,0.9226588628762542,0.9375234328009332,0.9226588628762542,0.9209494390024707,31.56462264060974
MLP Neural Network,0.9218227424749164,0.9327790661440245,0.9218227424749164,0.9188060118526609,7.282819747924805
Gradient Boosting,0.9214046822742475,0.9364695568948518,0.9214046822742475,0.9194244068567043,11.335030317306519
SVM (RBF),0.9184782608695652,0.9329984658218717,0.9184782608695652,0.9152512234872906,78.76570701599121
LDA,0.9163879598662207,0.9234254279436556,0.9163879598662207,0.9137691947863537,0.008852005004882812
SVM (Linear),0.9159698996655519,0.9299868032302062,0.9159698996655519,0.9125269115869672,0.3839130401611328
QDA,0.879180602006689,0.9148900572922813,0.879180602006689,0.8712655037430145,0.007450103759765625
Naive Bayes (Gaussian),0.8745819397993311,0.9127490875057099,0.8745819397993311,0.8657452285304785,0.0072841644287109375
Decision Tree,0.8716555183946488,0.9091018308478078,0.8716555183946488,0.8618378061085772,4.11406135559082
Logistic Regression,0.7897157190635451,0.8505037764030672,0.7897157190635451,0.7362128603612358,0.2569410800933838
AdaBoost,0.7428929765886287,0.614402083207516,0.7428929765886287,0.6592718386528762,1.4704689979553223
